1% DMSO,dose_0.01
DMSO 1,100.7774484
DMSO 2,98.58493204
DMSO 3,100.7252456
DMSO 4,107.5377072
DMSO 5,99.96830546
DMSO 6,104.4838451
DMSO 7,91.45925387
DMSO 8,98.50662789
DMSO 9,98.6632362
DMSO 10,98.35001958
DMSO 11,101.6387941
DMSO 12,101.0384623
DMSO 13,94.98294088
DMSO 14,95.50496859
DMSO 15,97.04495031
DMSO 16,99.08085836
DMSO 17,109.1559931
DMSO 18,97.09715308
DMSO 19,99.02865559
DMSO 20,102.1347204
DMSO 21,105.6845088
DMSO 22,108.138039
DMSO 23,100.5425359
DMSO 24,101.221172
DMSO 25,98.76764174
DMSO 26,102.5262412
DMSO 27,94.43481179
DMSO 28,92.92093145
DMSO 29,99.86756466
DMSO 30,106.1746562
DMSO 31,101.9276699
DMSO 32,99.77248288
DMSO 33,96.72986587
DMSO 34,107.0620861
DMSO 35,96.50800838
DMSO 36,127.4095874
DMSO 37,99.64570717
DMSO 38,98.18778652
DMSO 39,98.44133794
DMSO 40,105.1604505
DMSO 41,106.3014319
DMSO 42,104.8435112
DMSO 43,99.3287679
DMSO 44,99.96264644
DMSO 45,102.5615485
DMSO 46,101.9276699
DMSO 47,87.34846341
DMSO 48,105.3506141
DMSO 49,96.92002943
DMSO 50,94.79653631
DMSO 51,87.25338163
DMSO 52,101.2937914
DMSO 53,87.69709661
DMSO 54,89.6621201
DMSO 55,100.15281
DMSO 56,97.71237761
DMSO 57,99.63564094
DMSO 58,97.94633985
DMSO 59,99.63564094
DMSO 60,106.1609805
DMSO 61,98.01258695
DMSO 62,100.6955946
DMSO 63,95.66081484
DMSO 64,103.5442199
DMSO 65,99.73501159
DMSO 66,100.1987413
DMSO 67,101.0268301
DMSO 68,100.1324942
DMSO 69,100.960583
DMSO 70,111.8582312
DMSO 71,96.72076847
DMSO 72,97.21762173
DMSO 73,96.12454455
DMSO 74,98.64193442
DMSO 75,100
DMSO 76,97.05200397
DMSO 77,101.8880424
DMSO 78,101.5568069
DMSO 79,97.31699238
DMSO 80,94.0046373
DMSO 81,104.3723087
DMSO 82,106.5915866
DMSO 83,95.66081484
DMSO 84,97.64822789
DMSO 85,94.54325215
DMSO 86,96.27170761
DMSO 87,96.76089311
DMSO 88,101.1309503
DMSO 89,106.6750527
DMSO 90,95.09766239
DMSO 91,97.64142702
DMSO 92,101.81581
DMSO 93,94.83676346
DMSO 94,96.10864577
DMSO 95,105.2401086
DMSO 96,99.98951745
DMSO 97,97.70665176
DMSO 98,98.52196094
DMSO 99,101.3266245
DMSO 100,108.6644071
DMSO 101,99.43510721
DMSO 102,104.0986757
DMSO 103,101.2613998
DMSO 104,97.57620229
DMSO 105,95.9781963
DMSO 106,105.2074962
DMSO 107,101.1309503
DMSO 108,103.6094902
DMSO 109,103.1203047
DMSO 110,101.5875234
DMSO 111,94.57586452
DMSO 112,100.0873546
